"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN"
"BT1","1","Battery","","","","Connector_JST:JST_ACH_BM02B-ACHSS-GAN-ETF_1x02-1MP_P1.20mm_Vertical","~","B2B-ZR-SM4-TF"
"C1","1","0.1","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","GRM155R71C104KA88D"
"C2","1","10","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","GRM155R61A106ME11D"
"D1,D2","2","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","LTST-C170KRKT,LTST-C171KGKT"
"J1","1","USB_B_Micro","","","","Connector_USB:USB_Micro-AB_Molex_47590-0001","~","0475900001"
"J2","1","Micro_SD_Card","","","","Connector_Card:microSD_HC_Molex_104031-0811","https://www.we-online.com/components/products/datasheet/693072010801.pdf","1040310811"
"J3","1","OLED","","","","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Left","~","SSM-104-L-SV-K-TR"
"J4","1","BNO085","","","","Connector_PinHeader_1.27mm:PinHeader_1x10_P1.27mm_Vertical_SMD_Pin1Left","~","SSM-104-L-SV-K-TR"
"Q1","1","2N7002","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","2N7002"
"R1,R2","2","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","CRCW08051K00FKEA"
"R3","1","0.4","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","RCWP0575400RGKS6"
"R4","1","1.2k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","CRCW08051K20FKEA"
"R5,R6,R7,R8","4","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","CRCW080510K0FKEA"
"SW1","1","Power","","","","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile","~","RS-282G05A3-SM RT"
"SW2","1","Start","","","","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile","~","RS-282G05A3-SM RT"
"SW3","1","Stop","","","","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile","~","RS-282G05A3-SM RT"
"U1","1","ESP32-C3_SUPERMINI_TH","","","","hot shoe:MODULE_ESP32-C3_SUPERMINI","","26892"
"U2","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf","TPB4056A20-ES1R"
